目录,题型,题干,正确答案,答案解析,难易度,知识点,选项数,A,B,C,D,,
/导言,单选题,中国近现代史，是指（）以来的中国历史。,A,,易,,4,1840年,1860年,1900年,1919年,,
/导言,单选题,中国近代史是从1840年鸦片战争爆发到（）的历史。,C,,易,,4,1919年五四运动,1927年大革命失败,1949年中华人民共和国成立前夕,1956年社会主义基本制度确立,,
/导言,单选题,1842年8月29日，清政府与英国签订中国近代史上第一个不平等条约——（）。,A,,易,,4,《南京条约》,《北京条约》,《天津条约》,《马关条约》,,
/导言,单选题,中国共产党一经成立，就把实现（）作为党的最高理想和最终目标。,A,,易,,4,共产主义,社会主义,资本主义,帝国主义,,
/导言,单选题,十月革命一声炮响，给中国送来了（）。,D,,易,,4,无政府主义,新黑格尔主义,新康德主义,马克思列宁主义,,
/导言,单选题,近代中国人民的革命，在（）以前，属于旧的资产阶级民主主义革命范畴。,C,,易,,4,辛亥革命,新文化运动,五四运动,中国共产党成立,,
/导言,单选题,推翻“三座大山”，是（）的主要任务。,C,,易,,4,旧式农民战争,旧的资产阶级革命,新民主主义革命,社会主义革命,,
/导言,单选题,中国人民的革命斗争进入新民主主义革命时期，（）成为民主革命的领导力量。,D,,易,,4,中国农民阶级及其领导人,封建地主阶级及其武装力量,民族资产阶级及其政党,中国工人阶级及其政党,,
/导言,单选题,建立一个（）领导的以工农联盟为基础的人民民主专政的人民共和国，是中国共产党领导中国人民进行新民主主义革命所要达到的基本目标。,B,,易,,4,农民阶级,工人阶级,民族资产阶级,小资产阶级,,
/导言,多选题,通过一系列不平等条约和其他方式，西方列强在中国攫取大量特权和利益，如（）。,ABCD,,易,,4,割占香港岛,外国船舰可在中国领海自由航行,外国人在华不受中国法律管束，享受领事裁判权,协定关税,,
/导言,多选题,在半殖民地半封建的中国，（）的联合压迫，严重阻碍了中国的社会发展和进步。,BD,,中,,4,民族资产阶级,本国封建主义,城市小资产阶级,外国资本-帝国主义,,
/导言,多选题,随着近代中国社会性质的改变，社会阶级关系也发生深刻变动，不仅原有的阶级发生了变化，还有（）等新的阶级产生出来。,ACD,,中,,4,工人阶级,农民阶级,资产阶级,小资产阶级,,
/导言,多选题,在1949年新中国成立前，中国人民继续遭受（）的压迫，被称为压在中国人民头上的“三座大山”。,BCD,,中,,4,民族资本主义,帝国主义,封建主义,官僚资本主义,,
/导言,多选题,中国近代历史表明，不触动封建根基的（）以及照搬西方资本主义的其他种种方案，都不能完成中华民族救亡图存的使命和反帝反封建的任务。,ABCD,,易,,4,自强运动,改良主义,旧式农民战争,资产阶级革命派领导的革命,,
/导言,多选题,鸦片战争以后，中国社会发生两个根本变化，包括（）。,AB,,中,,4,独立的中国逐步变成半殖民地的中国,封建的中国逐步变成半封建的中国,独立的中国变为西方列强的殖民地,封建的中国逐步变成资本主义的中国,,
/导言,判断题,坚持和发展中国特色社会主义，是实现中华民族伟大复兴的必由之路。,A,,易,,2,正确,错误,,,,
/导言,判断题,坚持中国共产党的领导，是实现中华民族伟大复兴的根本保证。,A,,易,,2,正确,错误,,,,
/导言,判断题,新兴的工人阶级是近代中国最革命的阶级。,A,,易,,2,正确,错误,,,,
/导言,判断题,近代以来，世界主要资本-帝国主义国家几乎都侵略过中国。,A,,易,,2,正确,错误,,,,
/导言,判断题,从鸦片战争直到抗日战争以前中国的反侵略战争都是以失败而告结束。,A,,易,,2,正确,错误,,,,
/导言,判断题,中国现代史是1949年中华人民共和国成立以来的历史。,A,,易,,2,正确,错误,,,,
/导言,判断题,必须首先进行反帝反封建的民主革命，中国才能争得民族独立、人民解放。,A,,易,,2,正确,错误,,,,
/导言,判断题,十月革命给世界人民解放事业开辟了广大的可能性和现实的道路。,A,,易,,2,正确,错误,,,,
/导言,判断题,新文化运动是中国新民主主义革命的开端。,B,五四运动,难,,2,正确,错误,,,,
/导言,判断题,领导权的变化，是区分新旧民主主义革命的根本标志。,A,,易,,2,正确,错误,,,,
/导言,判断题,革命的根本问题是政权问题。,A,,易,,2,正确,错误,,,,
/导言,多选题,新民主主义革命的胜利的重要意义有（）。,ABD,,中,,4,彻底结束了旧中国半殖民地半封建社会的历史,彻底结束了旧中国一盘散沙的局面,彻底实现了中华民族伟大复兴,彻底废除了列强强加给中国的不平等条约和帝国主义在中国的一切特权,,
/导言,单选题,（）宣告中国人民当家作主时代的到来，中华民族以崭新的姿态屹立于世界民族之林。,B,,易,,4,抗日战争的胜利,中华人民共和国的成立,社会主义制度的建立,社会主义改造的完成,,
/导言,单选题,新中国的政体是（）。,C,,易,,4,议会制共和制,总统制共和制,人民代表大会制度,议会制君主立宪制,,
/导言,单选题,新中国的国体是（）领导的以工农联盟为基础的人民民主专政的社会主义国家。,A,,易,,4,工人阶级,农民阶级,地主阶级,资产阶级,,
/导言,多选题,新中国成立初期，以毛泽东为主要代表的中国共产党人，团结带领全党全国各族人民，（）以及促进经济文化等各项事业恢复和发展，开始了由新民主主义向社会主义的过渡。,ABCD,,易,,4,巩固党的执政地位,确立人民当家作主的国体和政体,捍卫新中国的独立和主权,实现祖国大陆的解放和统一,,
/导言,单选题,社会主义基本制度在中国大地落地生根的标志是（）。,D,,易,,4,土地革命完成,封建婚姻制度被废除,镇压反革命运动结束,社会主义改造基本完成,,
/导言,单选题,（）实现了中华民族有史以来最广泛最深刻的社会变革。,D,,易,,4,土地革命完成,封建婚姻制度被废除,镇压反革命运动结束,社会主义基本制度的确立,,
/导言,判断题,只有社会主义才能救中国，只有社会主义才能发展中国。,A,,易,,2,正确,错误,,,,
/导言,单选题,以（）为标志，中国进入改革开放和社会主义现代化建设新时期。,B,,易,,4,1954年《中华人民共和国宪法》颁布,1978年党的十一届三中全会,1992年确立社会主义市场经济体制改革目标,2001年中国加入世界贸易组织,,
/导言,判断题,推进改革开放，实现了从高度集中的计划经济体制到充满活力的社会主义市场经济体制的历史性转变。,A,,易,,2,正确,错误,,,,
/导言,判断题,改革开放以来，我国实现了人民生活从温饱不足到总体小康、奔向全面小康的历史性跨越。,A,,易,,2,正确,错误,,,,
/导言,判断题,改革开放是决定当代中国前途命运的关键一招。,A,,易,,2,正确,错误,,,,
/导言,判断题,学习历史的主要目的是为了以史鉴今、资政育人。,A,,易,,2,正确,错误,,,,
/导言,判断题,重视对历史的学习、研究、宣传，注意对历史经验的总结、借鉴、汲取，这是中华民族的优良传统，也是推进党和国家事业发展的现实需要。,A,,易,,2,正确,错误,,,,
/导言,单选题,（）推翻了统治中国几千年的君主专制制度，但未能改变中国半殖民地半封建的社会性质和中国人民的悲惨命运。,B,,易,,4,李鸿章等人发起的洋务运动,孙中山领导的辛亥革命,康有为等人发起的维新变法,实行“新政”,,
/导言,单选题,（）是马克思主义中国化时代化的第一次历史性飞跃。,A,,易,,4,毛泽东思想,邓小平理论,“三个代表”重要思想,科学发展观,,
/导言,多选题,走过百年奋斗历程的中国共产党在革命性锻造中更加坚强有力，党的（）显著增强。,ABCD,,易,,4,政治领导力,思想引领力,群众组织力,社会号召力,,
/第一章,多选题,中国古代物质文明和精神文明丰富多彩、灿烂辉煌，表现为（）。,ABCD,,易,,4,古代中国的经济发展和科学技术长期处于世界领先地位,古代中国的哲学思想博大精深,典籍文献浩如烟海,文学艺术高峰迭起,,
/第一章,判断题,两千多年来，国家的统一和各民族间经济文化的紧密联系和相互交流是中国历史的主流。,A,,易,,2,正确,错误,,,,
/第一章,单选题,在中国封建社会的经济中，（）占主导地位。,A,,易,,4,封建地主土地所有制经济,封建农奴制经济,自由交换的商品经济,垄断资本主义经济,,
/第一章,单选题,（）是中国封建社会的基本生产结构。,B,,易,,4,以物易物的自然经济,以个体家庭为单位并与家庭手工业牢固结合的小农经济,资本主义性质的手工工场,资本主义机器生产,,
/第一章,判断题,在中国封建社会里，地主、商人、高利贷者这三者常常是结合在一起的。,A,,易,,2,正确,错误,,,,
/第一章,判断题,中国封建社会的核心是宗族家长制，突出君权、父权、夫权。,A,,易,,2,正确,错误,,,,
/第一章,判断题,中国封建社会政治的基本特征是实行高度中央集权的封建君主专制制度。,A,,易,,2,正确,错误,,,,
/第一章,判断题,中国古代的农民起义在一定程度上冲击了腐朽、黑暗的统治秩序，直接或间接地推动了社会的发展。,A,,易,,2,正确,错误,,,,
/第一章,多选题,17世纪下半叶至18世纪，中国封建社会走向末世，衰相尽显，危机四伏，具体表现为（）。,ABC,,中,,4,经济生产凋敝,土地高度集中,实行“海禁”的闭关政策,大机器生产广泛应用,,
/第一章,单选题,（）标志着世界历史开始进入资本主义时代。,A,,易,,4,1640年的英国资产阶级革命,17至18世纪的启蒙运动,18世纪60年代起的工业革命,19世纪末20世纪初帝国主义形成,,
/第一章,单选题,19世纪初，英国工业迅猛发展，（）成为资本主义世界的工业中心。,B,,易,,4,牛津,伦敦,爱丁堡,利物浦,,
/第一章,判断题,殖民主义是适应西方资本主义的发展要求而产生的，并随着资本主义生产方式的演进而发展。,A,,易,,2,正确,错误,,,,
/第一章,判断题,殖民主义是为资产阶级剥削国内外人民、建立资本主义的世界体系服务的。,A,,易,,2,正确,错误,,,,
/第一章,判断题,在19世纪末资本主义进入帝国主义阶段之后，资本输出成为殖民剥削的重要形式。,A,,易,,2,正确,错误,,,,
/第一章,判断题,西方殖民主义势力来到东方，是为了帮助东方国家建立独立自主的资本主义国家。,B,,中,,2,正确,错误,,,,
/第一章,单选题,1840年，英国发动侵略中国的（），中国历史发展从此发生重大转折。,A,,易,,4,鸦片战争,第二次鸦片战争,黄海海战,八国联军侵华战争,,
/第一章,单选题,19世纪前期，（）已经基本上完成工业革命，成为世界资本主义最强大的国家。,A,,易,,4,英国,美国,法国,日本,,
/第一章,判断题,英国对华贸易长期处于入超状态，是因为在全面开放对外贸易的情况下英国工业品仍然无法满足中国自然经济的需求。,B,,易,,2,正确,错误,,,,
/第一章,判断题,英国殖民者向中国走私鸦片并贩卖给中国民众，目的是牟取暴利及改变贸易逆差。,A,,易,,2,正确,错误,,,,
/第一章,多选题,英国的鸦片走私造成（）。,ABCD,,易,,4,中国的白银大量外流和财政危机,加重了劳动人民的负担,银贵钱贱,直接毒害了中国人的身体和精神,,
/第一章,单选题,1842年6月，英军集中兵力猛攻长江门户吴淞炮台，江南提督（）率领守军，顽强抵抗，英勇杀敌，最终英勇牺牲。,B,,易,,4,邓世昌,陈化成,刘永福,冯子材,,
/第一章,判断题,鸦片战争以后，中国的民族资本主义经济逐渐成为中国社会经济的主要形式。,B,民族资本主义经济从未成为主要形式。,中,,2,正确,错误,,,,
/第一章,判断题,在中国的资本主义经济中，外国资本及依附于它的官僚资本分别居于主要和支配的地位。,A,,易,,2,正确,错误,,,,
/第一章,判断题,近代中国的经济既不再是完全的封建经济，也不是完全的资本主义经济。,A,,易,,2,正确,错误,,,,
/第一章,多选题,随着近代中国从封建社会逐步演变为半殖民地半封建社会，中国社会的阶级关系也发生了深刻的变动，体现在（）。,ABCD,,易,,4,有的地主直接创办或参股民营企业，转化为资本家,有的农民破产或失去土地后流入城市，成为产业工人的后备军,诞生了新兴的被压迫阶级工人阶级,诞生了新的阶级资产阶级,,
/第一章,多选题,中国的民族资产阶级所经营的企业有（）的特点。,ABC,,中,,4,原始积累不足,大多数规模偏小,设备落后,技术先进,,
/第一章,判断题,民族资产阶级对外国资本主义和本国封建主义表现出了完全的依赖、妥协。,B,既有革命的一面，也有依赖的一面,中,,2,正确,错误,,,,
/第一章,多选题,近代中国半殖民地半封建社会的矛盾呈现出错综复杂的状况，包括（）等矛盾。,ABCD,,易,,4,中华民族与资本-帝国主义的矛盾,农民阶级与地主阶级的矛盾,资产阶级与地主阶级的矛盾,无产阶级与资产阶级的矛盾,,
/第一章,多选题,在错综复杂的近代中国半殖民地半封建社会的矛盾中，占支配地位的主要矛盾是（）。,BC,,中,,4,各帝国主义国家在中国争夺的矛盾,帝国主义和中华民族的矛盾,封建主义和人民大众的矛盾,资产阶级与地主阶级的矛盾,,
/第一章,判断题,当资本-帝国主义向中国发动侵略战争时，近代中国社会中的阶级矛盾会暂时降到次要和服从的地位。,A,,易,,2,正确,错误,,,,
/第一章,判断题,当资本-帝国主义与中国的反动统治阶级结成同盟共同压迫中国人民时，阶级矛盾上升为近代中国社会的主要矛盾。,A,,易,,2,正确,错误,,,,
/第一章,判断题,中国工人阶级的产生晚于中国资产阶级的产生。,B,19s4\50年代，工人阶级在外商工厂里诞生,难,,2,正确,错误,,,,
/第一章,单选题,（）是近代中国最革命的阶级，是中国新生产力的代表。,B,,易,,4,农民阶级,工人阶级,小资产阶级,民族资产阶级,,
/第一章,多选题,中国工人阶级有（）的特点。,ABC,,中,,4,受剥削最深,革命性最强,非常团结,纪律组织性弱,,
/第一章,单选题,中国民主革命的主力军是（）。,A,,易,,4,农民阶级,工人阶级,小资产阶级,民族资产阶级,,
/第一章,判断题,在半殖民地半封建的中国，封建势力成为资本-帝国主义压迫、奴役中国人民的社会基础和统治支柱。,A,,易,,2,正确,错误,,,,
/第一章,判断题,封建剥削制度的根基是封建地主的土地所有制。,A,,易,,2,正确,错误,,,,
/第一章,单选题,资本-帝国主义列强对中国的侵略，首先和主要的是（）。,D,,难,,4,文化渗透,经济掠夺,政治控制,军事侵略,,
/第一章,多选题,资本-帝国主义列强依仗先进的武器和军事技术，对中国（）。,ABCD,,易,,4,进行武力威胁,发动侵略战争,武装干涉中国的内政,出兵镇压中国革命,,
/第一章,多选题,资本-帝国主义列强对中国进行军事侵略包括（）。,ABC,,难,,4,发动侵略战争，屠杀中国人民,侵占中国领土，划分势力范围,勒索赔款，抢掠财富,控制中国内政,,
/第一章,单选题,1842年，英国强迫清政府签订《南京条约》，把（）割让给英国。,B,,易,,4,澳门半岛,香港岛,辽东半岛,中国台湾全岛及所有附属各岛屿和澎湖列岛,,
/第一章,单选题,1849年，葡萄牙武力强占（）。,A,,易,,4,澳门半岛,香港岛,辽东半岛,中国台湾全岛及所有附属各岛屿和澎湖列岛,,
/第一章,单选题,1887年，（）胁迫清政府订立通商条约，允许其“永居管理澳门”。,B,,易,,4,西班牙,葡萄牙,匈牙利,意大利,,
/第一章,单选题,（）于1858年胁迫黑龙江将军奕山与之签订《瑷珲条约》，割去黑龙江以北60万平方公里领土。,D,,易,,4,英国,法国,美国,俄国,,
/第一章,多选题,通过《瑷珲条约》以及（）一系列不平等条约，俄国共侵占中国领土150多万平方公里。,ACD,,中,,4,中俄《北京条约》,《辛丑条约》,《勘分西北界约记》,《改订伊犁条约》,,
/第一章,单选题,1895年，（）强迫清政府签订《马关条约》，割去中国台湾全岛及所有附属各岛屿和澎湖列岛。,A,,易,,4,日本,英国,法国,美国,,
/第一章,单选题,1898年，（）强租山东的胶州湾，把山东划为其势力范围。,D,,易,,4,英国,法国,美国,德国,,
/第一章,多选题,资本-帝国主义列强侵占中国领土，划分势力范围，主要体现在（）。,ABC,,中,,4,迫使清政府签订不平等条约，破坏中国的主权和领土完整,霸占中国通商口岸内的土地，设立完全由外国直接控制和统治的租界,获得了在中国领土上驻兵的特权,剥夺中国的关税自主权,,
/第一章,单选题,1901年（）规定，外国军队有权在北京使馆区和北京至大沽、山海关一线包括天津、唐山等12处“留兵驻守”。,D,,易,,4,《南京条约》,《天津条约》,《马关条约》,《辛丑条约》,,
/第一章,单选题,（）从俄国手中攫得租自中国的旅顺口和大连湾、长春至旅顺口的铁路及其他有关权益，并在旅顺设置“关东总督府”。,A,,易,,4,日本,英国,法国,美国,,
/第一章,单选题,八国联军侵华战争时签订的（），规定中国应支付的赔款额高达4.5亿两白银，分39年还清，本息合计近10亿两之巨。,D,,易,,4,《南京条约》,《北京条约》,《马关条约》,《辛丑条约》,,
/第一章,单选题,列强在侵华战争中公开抢劫中国的财富，肆意破坏中国的文物和古迹。最典型的是（）抢劫了清朝皇帝的离宫圆明园。,B,,易,,4,美国军队,英法联军,俄国军队,八国联军,,
/第一章,单选题,“允许外国公使常驻北京”出自（）。,B,,中,,4,《南京条约》,《天津条约》,《马关条约》,《辛丑条约》,,
/第一章,单选题,自近代以来，资本-帝国主义列强采取种种方式控制中国政府，操纵中国的内政、外交，其中（）导致外国人可以在中国横行不法，中国政府却无权干预。,A,,易,,4,列强在中国享有领事裁判权,外国公使常驻北京,中国海关被外国人把持,列强向清政府供应军火、船只,,
/第一章,单选题,（）自1863年任总税务司开始，直到1908年回国，掌握中国海关大权达40余年之久。,A,,易,,4,英国人赫德,英国公使普鲁斯,英国人李泰国,美国公使田贝,,
/第一章,单选题,1859年，海关总税务司署在上海设立，（）成为第一任总税务司。,C,,易,,4,英国人赫德,英国公使普鲁斯,英国人李泰国,美国公使田贝,,
/第一章,多选题,为了镇压太平天国农民起义，资本-帝国主义列强的做法有（）。,BCD,本规定出自《辛丑条约》,中,,4,强迫清政府作出永远禁止中国人成立或加入任何反对它们的组织的承诺,向清政府供应军火、船只,派外国军官组织并指挥“洋枪队”,动用陆海军，对太平军作战,,
/第一章,多选题,资本-帝国主义列强对中国进行政治控制包括（）。,ABCD,,易,,4,控制中国的内政,把持中国海关及对外事务,镇压中国人民的反抗,扶植、收买代理人,,
/第一章,多选题,资本-帝国主义列强对中国进行经济侵略的方式有（）。,ABCD,,易,,4,强迫中国支付巨额的战争赔款,控制中国的通商口岸,剥夺中国的关税自主权,实行商品倾销和资本输出,,
/第一章,判断题,民族资本家经营的工厂资本雄厚、规模大、技术先进，是外国资本家经营的企业的主要竞争对手。,B,民族资本主义企业无力与之抗衡,易,,2,正确,错误,,,,
/第一章,判断题,通商口岸大多是资本-帝国主义列强在近代中国进行经济侵略的基地。,A,,易,,2,正确,错误,,,,
/第一章,单选题,（）之后，中国开始逐步丧失了关税自主权。,A,,易,,4,鸦片战争,第二次鸦片战争,中法战争,甲午战争,,
/第一章,单选题,外国资产阶级在中国的通商口岸开设洋行，垄断性地经营进出口贸易，这样导致的恶果是（）。,C,,易,,4,近代中国的进出口贸易进一步发展起来,近代中国从事进出口贸易的商家数量大大增加,外国资产阶级逐步控制了近代中国的进出口贸易,近代中国的民族资产阶级壮大了,,
/第一章,判断题,资本-帝国主义列强凭借不平等条约所赋予的种种特权，把近代中国变为其倾销商品的市场和取得廉价原料的基地。,A,,易,,2,正确,错误,,,,
/第一章,多选题,资本-帝国主义列强在中国（），获取超额利润，压制中国民族资本主义经济的发展。,ABCD,,易,,4,开设工厂,开办银行,修筑铁路,开发矿山,,
/第一章,单选题,外国资本在中国设立的（），是它们对中国进行资本输出的枢纽，是列强对华经济侵略的中心。,B,,易,,4,工厂,银行,铁路,矿场,,
/第一章,多选题,资本帝国主义列强对中国进行文化渗透，其目的是（）。,BCD,,中,,4,帮助中国弘扬传统文化,宣扬殖民主义奴化思想,麻醉中国人民的精神,摧毁中国人的民族自尊心和自信心,,
/第一章,判断题,资本-帝国主义的文化渗透活动，有许多是披着宗教外衣、在传教的名义下进行的。,A,,易,,2,正确,错误,,,,
/第一章,多选题,外国教会中的某些势力还利用宣传宗教和西学的名义，为资本-帝国主义的侵略制造舆论，如（）。,ABC,,中,,4,通过在中国办的某些报纸、杂志，翻译、出版的某些书刊，宣扬殖民主义奴化思想,通过兴办教育，传播其价值理念,大肆宣扬“种族优劣论”,撰写文章《两个强盗》，控诉巴特农神庙的悲剧在圆明园重新上演,,
/第一章,单选题,（）的抗英斗争，是中国近代史上中国人民第一次大规模的反侵略武装斗争，显示了中国人民不甘屈服和敢于斗争的英雄气概。,B,,易,,4,西藏人民,三元里人民,天津大沽炮台守军,香港中国造船工人,,
/第一章,多选题,太平天国农民战争后期，太平军曾多次重创（）。,BCD,,难,,4,日本关东军,洋枪队“常胜军”,洋枪队“常捷军”,英、法侵略军,,
/第一章,单选题,台湾绅民发布檄文，表示“愿人人战死而失台，决不愿拱手而让台”表达了誓与台湾共存亡的决心，发生在（）签订之后。,C,,易,,4,《南京条约》,《天津条约》,《马关条约》,《辛丑条约》,,
/第一章,单选题,（）签订后，台湾人民反对割台，与总兵刘永福所率领的黑旗军共同抗击日本侵略。,C,,易,,4,《南京条约》,《天津条约》,《马关条约》,《辛丑条约》,,
/第一章,单选题,以下人民群众的反侵略斗争中，（）不是发生在八国联军侵华战争时期。,B,,易,,4,义和团在廊坊袭击和围困八国联军2000多人,太平军在浙江慈溪击伤“常胜军”统领、美国人华尔,义和团和清军在天津老龙头火车站与侵略者拼死鏖战,义和团与清军在东北抗击沙俄侵略军,,
/第一章,单选题,中法战争期间，法舰进犯淡水，都被督办台湾事务大臣（）指挥守军击退。,D,,难,,4,冯子材,吴彭年,刘永福,刘铭传,,
/第一章,单选题,1894年甲午战争中，海军提督（）率北洋舰队从到朝鲜返航途中遇上日本联合舰队12艘军舰来袭，迎敌而上、奋力反击。,A,,易,,4,丁汝昌,冯子材,关天培,陈化成,,
/第一章,单选题,1894年甲午战争中，“致远”号管带（）下令向日舰“吉野”号猛撞，不幸被鱼雷击中，船体炸裂沉没，全舰250名官兵壮烈牺牲。,B,,易,,4,丁汝昌,邓世昌,刘步蟾,林泰曾,,
/第一章,判断题,正是由于中国人民前仆后继、英勇顽强的斗争，才使我们的国家和民族历尽劫难、屡遭侵略而不亡。,A,,易,,2,正确,错误,,,,
/第一章,判断题,帝国主义侵略中国的最终目的，是要瓜分中国、灭亡中国。,A,,易,,2,正确,错误,,,,
/第一章,多选题,19世纪70至80年代，列强从侵占中国周边邻国发展到蚕食中国边疆地区，使中国陷入“边疆危机”，体现在（）。,ACD,,中,,4,英国从印度侵入西藏,美国从缅甸入侵云南,法国从越南侵犯广西,俄国从中亚入侵新疆,,
/第一章,单选题,帝国主义列强对中国的争夺和瓜分的图谋，在（）爆发后达到高潮。,C,,难,,4,第二次鸦片战争,中法战争,中日甲午战争,八国联军侵华战争,,
/第一章,判断题,从1840年至1919年的80年间，历次的反侵略战争都是以中国失败、中国政府被迫签订丧权辱国的条约而告结束的。,A,,易,,2,正确,错误,,,,
/第一章,单选题,1885年3月，爱国将领（）指挥清军在中越边境前线大败法军，取得镇南关大捷和谅山大捷。,A,,难,,4,冯子材,吴彭年,刘永福,刘铭传,,
/第一章,判断题,中法战争最终是以“中国不败而败，法国不胜而胜”而告结束的。 ,A,,易,,2,正确,错误,,,,
/第一章,单选题,八国联军侵占北京后，（）发布镇压义和团的上谕，称“义和团实为肇祸之由……非痛加铲除不可”，并命令各地文武官员对义和团要“行查办，务净根株”。,C,,易,,4,光绪皇帝,溥仪皇帝,慈禧太后,摄政王载沣,,
/第一章,判断题,腐败的中国半殖民地半封建的社会制度，阻碍了中国人民群众的广泛动员和抵抗，这是近代中国反侵略战争屡遭失败的最重要的原因。,A,,易,,2,正确,错误,,,,
/第一章,单选题,（）是近代中国睁眼看世界的第一人。,B,,易,,4,郑观应,林则徐,魏源,王韬,,
/第一章,单选题,（）主持节译了《世界地理大全》，编成叙述世界五大洲30多个国家的地理、历史等情况的《四洲志》一书。,B,,易,,4,郑观应,林则徐,魏源,王韬,,
/第一章,单选题,魏源编成（）一书，介绍了世界各国的历史、地理，总结鸦片战争经验教训，论述海防战略战术以及西洋科技船炮图说等等。,B,,易,,4,《盛世危言》,《海国图志》,《救亡决论》,《天演论》,,
/第一章,单选题,（）在所著《盛世危言》中提出大力发展民族工商业，同西方国家进行“商战”，设立议院，实行“君民共主”制度等主张。,A,,中,,4,郑观应,张之洞,王韬,严复,,
/第一章,多选题,19世纪70年代以后，（）等人不仅主张学习西方的科学技术，同时也要求吸纳西方的政治、经济学说。,ABCD,,难,,4,王韬,薛福成,马建忠,郑观应,,
/第一章,判断题,王韬、郑观应等人的共同特点，是具有强烈的维护专制皇权、维护封建专制的思想。,B,具有比较强烈的反对外国侵略、追求中国独立富强的爱国思想，以及具有一定程度反对封建专制的民主思想,难,,2,正确,错误,,,,
/第一章,单选题,提出设立议院，实行“君民共主”制度主张的是（）。,A,,难,,4,郑观应,徐桐,刚毅,翁同龢,,
/第一章,判断题,中日甲午战争以后，当中华民族面临生死存亡的关头时，中国人才开始有了普遍的民族意识的觉醒。,A,,易,,2,正确,错误,,,,
/第一章,单选题,1895年，（）写了《救亡决论》一文，响亮地喊出了“救亡”的口号。,B,,难,,4,郑观应,严复,魏源,王韬,,
/第一章,单选题,1898年4月，（）在保国会的演说中，把中华民族普遍产生的亡国灭种的危机感表达得淋滴尽致。,C,,中,,4,郑观应,梁启超,康有为,严复,,
/第一章,单选题,（）翻译了《天演论》，用“物竞天择”“适者生存”的社会进化论思想，为亡国灭种的危机意识和民族意识提供了理论根据。,D,,易,,4,郑观应,梁启超,康有为,严复,,
/第一章,单选题,1870年代，中亚浩罕汗国将领阿古柏在英、俄支持下，侵占新疆。（）受命率兵展开收复新疆的军事行动，经过两年的浴血奋战，收复新疆，一举粉碎了分裂势力，捍卫了民族利益和民族尊严，维护了国家领土和主权的完整。,B,,易,,4,李鸿章,左宗棠,张之洞,奕?,,
/第二章,判断题,为挽救民族危亡，农民阶级、地主阶级洋务派和资产阶级维新派先后提出和尝试了各自的主张和方案，对国家出路进行了成功的探索。,B,,易,,2,正确,错误,,,,
/第二章,多选题,（）等残酷的压迫和剥削迫使农民群众走上反抗斗争的道路。,ABCD,,易,,4,封建地主的压迫、剥削,清政府加重赋税的征收科派,各级官吏浮收勒扣、横征暴敛,白银外流导致银贵钱贱,,
/第二章,单选题,1843年，（）撷取原始基督教教义中反映下层民众要求的平等思想和某些宗教仪式，加以改造，创立了拜上帝教。,B,,易,,4,杨秀清,洪秀全,李秀成,韦昌辉,,
/第二章,单选题,1851年1月，（）率拜上帝教教众在广西省桂平县金田村发动起义，建号太平天国。,A,,易,,4,洪秀全,杨秀清,李秀成,石达开,,
/第二章,判断题,太平军占领南京，定为首都，改名天京，宣告了太平天国农民政权的建立。,A,,易,,2,正确,错误,,,,
/第二章,判断题,《天朝田亩制度》的主张，肯定了封建社会的基础即封建土地所有制。,B,,难,,2,正确,错误,,,,
/第二章,单选题,（）提出的《资政新篇》，是太平天国后期颁布的社会发展方案。,C,,易,,4,洪秀全,杨秀清,洪仁玕,李秀成,,
/第二章,判断题,《天朝田亩制度》中的平分土地方案，仅在太平军占领的核心地区实行。,B,从未付诸实行,中,,2,正确,错误,,,,
/第二章,单选题,太平天国的领导者们希望通过施行（），建立“有田同耕，有饭同食，有衣同穿，有钱同使，无处不均匀，无人不饱暖”的理想社会。,C,,易,,4,《救亡决论》,《天演论》,《天朝田亩制度》,《资政新篇》,,
